Javorius	Allen	2	17	125	256	1	59	7	23	28	53
Leonard	Fournette	4	34	132	183	1	45	7	28	50	54
Dez	Bryant	3	17	41	122	1	37	4	10	10	55
Shane	Vereen	3	27	132	239	1	53	8	28	44	56
Cooper	Kupp	3	26	52	73	1	45	5	15	28	57
Davante	Adams	3	19	45	117	1	32	3	13	18	58
DeSean	Jackson	3	24	33	39	1	32	6	13	20	58
Danny	Amendola	3	18	49	138	1	46	7	12	28	59
Charles	Clay	5	29	74	87	1	29	6	21	42	60
Demaryius	Thomas	3	14	19	86	1	33	8	11	13	60
Tevin	Coleman	3	34	110	111	1	34	7	26	48	61
Austin	Hooper	3	27	62	78	1	2	6	23	41	61
George	Kittle	2	25	76	153	1	42	7	22	33	61
Martellus	Bennett	3	25	84	167	1	40	8	23	32	62
Devin	Funchess	2	16	44	141	1	49	5	13	14	62
Taylor	Gabriel	3	32	105	132	1	33	7	23	41	63
Alshon	Jeffery	2	21	27	56	1	20	5	13	11	64
Michael	Crabtree	3	16	28	96	1	32	2	11	20	64
Doug	Baldwin	3	8	23	158	1	37	6	12	12	64
Hunter	Henry	2	26	55	76	1	39	6	18	38	65
Jimmy	Graham	3	21	68	170	1	40	4	18	24	66
Allen	Hurns	3	23	47	83	1	23	6	14	32	67
Sterling	Shepard	5	27	71	110	1	4	7	21	41	68
Jordan	Matthews	3	28	80	126	1	26	7	21	42	68
Kyle	Rudolph	2	17	67	194	1	46	5	17	23	68
Terrance	Williams	3	28	92	155	1	48	8	20	39	68
Albert	Wilson	3	32	88	86	1	13	6	21	48	68
Eric	Ebron	3	34	120	147	1	29	7	23	38	69
Austin	Ekeler	2	35	150	221	1	59	7	27	52	70
Robert	Woods	3	22	36	70	1	42	8	14	26	71
Travis	Benjamin	2	30	58	37	1	29	5	22	36	72
Nick	Boyle	2	31	131	213	1	59	8	25	49	72
DeAndre	Washington	3	27	132	239	1	59	7	23	43	72
Dalvin	Cook	6	38	157	202	1	37	8	30	54	73
Brandin	Cooks	2	16	5	30	1	19	5	10	18	73
Brandon	Coleman	3	36	78	19	1	19	5	23	51	74
Jesse	James	2	29	103	169	1	41	6	23	42	74
Nick	O'Leary	2	35	88	42	1	41	8	23	51	74
Devontae	Booker	6	39	142	125	1	44	8	27	57	75
Kelvin	Benjamin	2	17	18	57	1	30	6	12	20	76
Benjamin	Watson	2	18	89	225	1	50	6	18	31	77
Stefon	Diggs	4	22	25	45	1	15	4	13	28	78
Trent	Taylor	2	27	108	199	1	55	7	21	36	79
Jermaine	Kearse	1	18	37	102	1	29	4	16	23	79
Ryan	Grant	3	28	93	158	1	39	6	19	40	80
C.J.	Anderson	3	37	156	215	1	56	7	31	55	81
Brandon	LaFell	3	26	109	208	1	56	7	24	33	82
Seth	Devalve	2	32	102	124	1	24	7	24	38	82
Jordan	Howard	2	35	165	246	1	61	8	31	49	82
Cameron	Brate	3	18	30	85	1	38	4	11	26	82
Devonta	Freeman	3	34	140	206	1	53	8	26	51	83
Emmanuel	Sanders	5	24	69	148	1	40	6	18	28	84
Charles	Sims	3	34	147	226	1	48	8	30	50	84
Rex	Burkhead	6	37	137	147	1	54	7	28	55	85
Tyler	Lockett	3	23	47	83	1	19	8	18	31	86
Sammy	Watkins	3	31	70	60	1	26	6	18	41	87
Matt	Breida	2	35	149	219	1	52	7	28	45	88
Austin	Seferian-Jenkins	3	16	88	230	1	46	5	21	29	89
Mike	Evans	3	10	12	81	1	32	4	3	6	89
Jeremy	Maclin	4	30	94	131	1	25	5	22	37	90
Darren	Sproles	7	42	168	152	1	57	8	30	58	90
O.J.	Howard	3	36	88	31	1	16	5	24	50	90
Tyler	Kroft	3	26	97	184	1	52	5	20	43	90
Ryan	Griffin	4	36	121	103	1	38	7	25	44	91
Gerald	Everett	3	42	122	13	1	9	7	28	57	91
Delanie	Walker	3	17	50	160	1	50	8	13	21	92
Jonnu	Smith	3	38	146	166	1	41	6	30	54	93
Bennie	Fowler	3	29	89	135	1	44	6	23	35	93
Mohamed	Sanu	4	21	60	143	1	49	6	15	29	94
DeMarco	Murray	3	32	149	241	1	55	8	28	49	95
Jordan	Reed	4	22	95	209	1	53	6	23	35	96
Zach	Miller	2	29	81	114	1	44	6	23	35	96
David	Njoku	2	31	101	140	1	42	5	23	38	97
Wendell	Smallwood	4	39	164	207	1	49	8	29	55	97
Robert	Turbin	4	40	182	238	1	57	8	30	59	98
A.J.	Derby	3	32	95	98	1	44	6	23	43	99
Ameer	Abdullah	3	36	164	240	1	51	8	28	53	99
Jay	Ajayi	3	35	172	253	1	58	8	31	50	99
Elijah	McGuire	1	43	175	147	1	51	8	30	62	100
Jason	Witten	3	15	53	179	1	45	5	18	23	101
Darren	Fells	3	38	143	156	1	51	5	25	54	101
Odell	Beckham	6	24	60	107	1	25	5	18	29	101
Charcandrick	West	3	37	166	235	1	60	6	29	57	101
Eric	Tomlinson	3	43	144	20	1	39	7	29	61	102
Dion	Lewis	2	39	180	244	1	62	8	31	60	102
Geronimo	Allison	4	38	116	50	1	7	8	25	51	102
Kyle	Juszczyk	4	41	163	161	1	39	7	29	58	103
Ricardo	Louis	2	26	64	90	1	36	8	18	25	104
De'Anthony	Thomas	2	42	160	104	1	17	6	30	62	104
Benny	Cunningham	4	43	173	135	1	35	7	30	62	105
Martavis	Bryant	3	31	83	86	1	22	7	24	34	106
Virgil	Green	3	40	139	80	1	29	7	28	58	106
Rashard	Higgins	3	35	123	146	1	38	8	26	39	106
Josh	Hill	3	42	178	188	1	54	8	32	62	107
Torrey	Smith	2	35	96	54	1	15	7	28	42	107
Jacquizz	Rodgers	3	43	189	204	1	60	8	30	63	107
Russell	Shepard	2	38	133	106	1	33	7	28	52	107
Stephen	Anderson	4	39	124	59	1	31	8	26	54	108
Will	Fuller	6	36	65	14	1	15	1	22	48	108
Marvin	Jones	3	23	29	43	1	30	5	17	20	108
Jaron	Brown	3	29	56	47	1	41	7	17	29	108
Wayne	Gallman	6	38	186	255	1	63	7	31	57	109
Jeremy	Kerley	2	27	91	163	1	42	7	20	43	109
Jonathan	Stewart	2	43	193	220	1	52	7	31	59	109
Jamaal	Charles	3	40	189	248	1	59	8	32	58	109
Jordy	Nelson	3	23	59	119	1	16	2	11	28	110
D'Onta	Foreman	3	46	171	12	1	39	8	30	66	111
Cole	Beasley	3	31	129	208	1	49	6	22	39	111
Kendall	Wright	2	27	73	115	1	51	7	17	36	112
Latavius	Murray	2	43	199	235	1	63	8	33	64	112
Julius	Thomas	3	32	115	162	1	48	8	25	42	113
Terrelle	Pryor	3	31	86	99	1	29	7	20	36	113
Malcolm	Brown	4	44	191	180	1	57	8	30	65	113
Tyler	Higbee	3	35	110	89	1	38	8	26	43	114
Michael	Campanaro	3	37	156	215	1	55	8	28	53	114
Tre	Madden	3	47	174	6	1	11	8	32	68	114
Marquise	Goodwin	2	29	46	29	1	22	8	17	24	115
Marcedes	Lewis	3	42	148	54	1	43	4	26	50	115
Tre	McBride	5	45	145	9	1	28	8	29	64	115
C.J.	Prosise	6	43	158	68	1	27	8	30	59	115
Donte	Moncrief	2	31	67	52	1	23	7	17	37	115
Brittan	Golden	3	44	169	71	1	44	8	30	62	116
Paul	Perkins	6	42	202	250	1	66	8	33	61	117
Tavon	Austin	3	42	203	252	1	60	8	32	58	117
Luke	Willson	3	41	151	105	1	46	6	28	58	117
DeVante	Parker	6	30	81	97	1	42	7	22	42	118
Brandon	Williams	2	42	162	116	1	41	8	30	61	118
Dion	Sims	2	40	143	93	1	46	7	27	52	118
J.D.	McKissic	6	42	155	84	1	46	7	27	60	118
Phillip	Dorsett	2	45	160	15	1	35	8	30	62	118
Bruce	Ellington	4	37	115	71	1	38	7	25	47	119
Kamar	Aiken	2	35	134	175	1	52	8	26	34	119
David	Johnson	9	43	172	130	1	49	8	30	61	119
Chris	Carson	6	42	179	195	1	63	7	30	62	119
TJ	Jones	3	32	72	49	1	39	8	18	37	120
Damien	Williams	3	41	187	237	1	60	8	29	57	120
Chris	Conley	5	38	112	38	1	38	8	25	54	120
Paul	Richardson	3	27	39	31	1	25	3	15	34	121
Lance	Kendricks	3	43	153	44	1	22	7	30	61	122
Fozzy	Whittaker	4	46	203	128	1	45	7	32	67	122
Coby	Fleener	3	35	123	146	1	49	6	25	50	122
Taywan	Taylor	3	39	111	25	1	20	7	26	54	123
C.J.	Ham	2	46	202	118	1	61	8	31	66	123
Maxx	Williams	7	43	205	248	1	60	8	31	64	123
J.J.	Nelson	3	30	52	33	1	28	6	22	38	123
Antonio	Gates	2	34	126	171	1	57	7	26	46	123
Samaje	Perine	3	44	207	242	1	57	7	31	65	124
Mike	Wallace	3	33	77	48	1	19	7	25	42	125
Jermaine	Gresham	4	34	130	176	1	53	8	26	47	125
Kenny	Britt	5	39	137	88	1	35	7	28	42	125
Brandon	Marshall	5	31	122	191	1	55	8	22	37	125
Marshawn	Lynch	3	45	199	173	1	57	8	32	60	125
Seth	Roberts	3	34	114	121	1	51	7	26	45	126
Orleans	Darkwa	4	41	195	249	1	60	8	31	59	126
Laquon	Treadwell	2	37	128	113	1	48	8	26	49	127
Corey	Grant	3	46	196	75	1	45	8	31	66	128
Eli	Rogers	4	42	175	182	1	57	8	29	56	128
John	Brown	5	36	113	79	1	42	6	24	39	128
Derrick	Henry	3	45	202	187	1	59	8	32	65	128
Kenny	Stills	3	24	54	94	1	37	4	19	27	129
Aldrick	Robinson	2	39	115	32	1	28	7	26	43	129
Mike	Tolbert	2	39	193	258	1	61	8	32	59	129
Tommylee	Lewis	4	42	161	109	1	21	8	30	59	129
Rhett	Ellison	3	43	187	197	1	61	7	30	62	129
Alex	Collins	3	47	207	54	1	46	8	32	66	129
Justin	Hardy	3	41	159	145	1	51	7	29	57	130
Cordarrelle	Patterson	2	35	170	251	1	62	8	29	51	130
Keelan	Cole	3	41	144	72	1	21	8	27	49	131
Doug	Martin	6	44	184	142	1	56	8	30	60	131
Kenjon	Barner	5	46	215	231	1	64	8	33	66	131
Derek	Carrier	3	46	199	91	1	56	8	30	65	132
Bobby	Rainey	7	45	216	254	1	61	8	32	66	132
Chris	Johnson	6	44	194	190	1	58	8	31	64	133
Jeremy	Hill	3	45	219	259	1	63	8	32	66	133
Josh	Doctson	3	41	135	35	1	21	5	26	53	134
Jared	Abbrederis	5	46	193	60	1	48	8	31	63	135
Demarcus	Robinson	2	39	141	120	1	40	8	27	53	136
Eric	Decker	3	26	85	164	1	46	8	21	33	136
Corey	Clement	2	47	206	48	1	51	7	31	67	136
Thomas	Rawls	5	46	206	154	1	57	8	31	64	136
Nick	Vannett	3	44	204	232	1	61	8	32	65	137
David	Morgan	2	46	209	176	1	59	8	31	65	137
Tyler	Boyd	6	43	194	224	1	62	8	31	61	137
Jeff	Heuerman	3	44	169	71	1	53	7	29	63	137
Mack	Hollins	2	41	117	17	1	12	7	27	61	137
Brice	Butler	3	41	98	11	1	20	6	27	58	138
Vance	McDonald	4	46	176	16	1	45	8	30	61	138
James	O'Shaughnessy	3	45	196	157	1	55	8	30	62	138
Richard	Rodgers	3	46	199	91	1	57	8	31	65	138
Garrett	Celek	2	43	178	159	1	49	7	29	61	138
Marcus	Williams	5	48	206	7	1	42	8	32	69	138
Corey	Davis	8	42	168	152	1	50	8	29	57	139
Brent	Celek	2	45	204	200	1	59	8	31	62	139
Johnny	Holton	2	48	175	1	1	12	7	32	69	139
Curtis	Samuel	3	42	190	229	1	53	8	32	56	139
Pharoh	Cooper	3	46	210	189	1	54	8	32	64	139
Ifeanyi	Momah	3	48	191	3	1	27	8	32	68	140
Michael	Hoomanawanui	3	45	189	109	1	48	7	31	63	140
Josh	Reynolds	3	48	209	8	1	45	8	32	69	141
Levine	Toilolo	3	44	196	201	1	58	8	32	63	141
Jarius	Wright	2	42	154	82	1	43	7	28	58	142
Darrius	Heyward-Bey	2	48	193	4	1	29	8	32	68	142
Kasen	Williams	3	40	161	176	1	59	8	31	52	142
Lawrence	Thomas	3	45	206	211	1	58	8	32	66	142
Terrance	West	5	47	213	120	1	58	8	31	66	142
C.J.	Uzomah	5	46	198	86	1	52	8	30	65	142
Deonte	Thompson	7	37	103	36	1	29	7	26	55	142
Branden	Oliver	5	44	215	259	1	62	8	32	62	142
Chris	Moore	5	44	163	37	1	50	7	29	54	143
Chris	Thompson	6	48	216	18	1	54	8	32	69	143
Dan	Vitale	2	47	217	185	1	62	8	32	68	143
Deonte	Thompson	5	38	138	127	1	53	7	25	52	143
Kerwynn	Williams	3	45	198	165	1	48	8	32	64	143
Demetrius	Harris	2	42	186	217	1	61	7	29	55	143
Jordan	Taylor	6	44	196	201	1	62	8	31	61	144
Tommy	Bohanon	3	44	200	218	1	59	7	30	61	144
Trey	Burton	2	40	169	210	1	58	7	28	60	144
Josh	Bellamy	2	39	142	125	1	56	8	26	53	144
Will	Tye	7	45	199	173	1	52	8	32	64	144
Eddie	Lacy	5	47	217	185	1	64	8	32	68	144
Roger	Lewis	3	39	136	87	1	44	7	27	51	145
LeGarrette	Blount	2	45	211	237	1	53	7	31	66	146
Anthony	Fasano	3	44	201	223	1	51	7	31	63	146
Jamaal	Williams	3	47	228	260	1	68	8	32	68	146
Cody	Latimer	6	45	200	178	1	60	8	30	64	146
Matt	Dayes	2	46	212	204	1	58	8	32	67	146
Kenyan	Drake	3	46	228	264	1	69	8	33	64	147
Darrell	Daniels	2	46	210	189	1	60	8	31	60	147
Michael	Floyd	7	46	206	154	1	54	8	32	65	147
Aaron	Jones	4	44	218	261	1	64	8	32	60	147
Zay	Jones	2	33	115	150	1	51	7	21	26	148
Adrian	Peterson	8	48	223	109	1	61	8	32	66	148
Lee	Smith	2	45	192	129	1	52	8	30	64	148
Kenny	Golladay	7	42	150	64	1	28	6	30	55	148
Jamal	Agnew	3	48	223	109	1	61	8	32	69	148
C.J.	Fiedorowicz	9	45	191	120	1	58	8	29	66	148
Brandon	Tate	5	46	188	34	1	49	7	30	65	149
Troy	Niklas	3	45	191	120	1	57	7	31	63	149
Justin	Hunter	7	46	217	242	1	66	8	32	62	149
Jay	Prosch	3	48	217	24	1	55	8	32	69	150
Sammie	Coates	4	46	212	204	1	62	8	32	62	150
Alex	Erickson	3	43	152	37	1	36	8	29	62	150
James	Hanna	3	48	209	8	1	45	7	32	68	151
Rob	Kelley	5	47	221	228	1	64	8	31	65	151
Niles	Paul	3	47	208	68	1	41	8	32	67	151
Jamize	Olawale	5	47	222	233	1	64	8	33	67	151
James	Develin	2	46	215	231	1	65	8	32	65	151
Andre	Holmes	2	37	143	174	1	37	5	23	51	152
Alfred	Morris	4	48	226	185	1	64	8	33	68	152
Chester	Rogers	7	45	207	216	1	58	8	31	66	152
Travis	Rudolph	8	46	205	147	1	58	8	31	63	152
Leonte	Carroo	3	42	170	163	1	52	8	29	56	152
Tyler	Eifert	8	45	191	120	1	51	8	31	65	152
Danny	Woodhead	9	46	204	135	1	60	8	30	67	152
Derrick	Coleman	3	48	224	135	1	62	8	32	67	152
Geoff	Swaim	3	47	211	95	1	55	8	31	68	152
Chris	Godwin	3	42	167	149	1	55	8	28	59	153
Ross	Travis	2	46	208	168	1	55	8	31	63	153
Quan	Bray	2	46	198	86	1	51	8	31	66	153
Taiwan	Jones	2	48	224	135	1	62	8	32	68	153
Tyler	Ervin	6	41	199	254	1	66	8	32	59	153
Dwayne	Washington	7	48	231	259	1	69	8	33	69	154
Travaris	Cadet	7	46	210	189	1	60	8	32	67	154
Mack	Brown	7	48	224	135	1	62	8	32	69	154
ArDarius	Stewart	2	45	201	185	1	49	8	32	62	154
Anthony	Sherman	2	48	224	135	1	62	8	32	68	154
T.J.	Yeldon	9	47	220	216	1	65	8	32	68	154
Jerell	Adams	3	46	183	22	1	35	8	30	67	155
Logan	Thomas	2	44	181	125	1	51	7	31	63	155
Michael	Burton	2	48	227	204	1	65	8	33	68	155
Tavarres	King	8	47	227	259	1	66	8	33	64	155
Andy	Janovich	3	47	221	228	1	63	8	32	66	155
Willie	Snead	8	48	224	135	1	62	8	32	67	156
Sean	McGrath	3	48	225	161	1	63	8	32	69	156
Andre	Roberts	3	48	223	109	1	61	8	32	67	156
Amara	Darboh	3	44	183	135	1	57	8	31	61	157
Ryan	Switzer	3	47	226	257	1	66	8	32	68	157
Cameron	Artis-Payne	5	48	233	265	1	71	8	33	69	157
Chris	Manhertz	2	48	224	135	1	62	8	32	68	157
Ben	Koyack	3	47	209	71	1	52	8	33	67	157
Chad	Williams	8	47	213	120	1	58	8	32	67	157
Bernard	Reedy	3	48	229	242	1	67	8	33	69	157
Alan	Cross	7	47	224	247	1	67	8	33	68	158
Chris	Matthews	4	46	211	197	1	61	8	31	64	158
Eric	Weems	3	48	230	250	1	68	8	33	68	158
Daniel	Brown	4	48	226	185	1	64	8	33	69	158
Aaron	Ripkowski	3	46	227	263	1	67	8	33	66	158
Tanner	McEvoy	3	48	185	2	1	20	8	32	66	158
Nick	Williams	9	46	207	161	1	59	8	30	66	158
Josh	Malone	8	47	202	28	1	48	7	31	66	158
Max	McCaffrey	5	48	231	259	1	69	8	33	69	158
Patrick	DiMarco	2	48	230	250	1	68	8	33	68	159
Adrian	Peterson	6	47	231	265	1	70	8	33	67	159
Rod	Smith	3	47	213	120	1	55	8	32	67	159
Akeem	Hunt	3	48	234	266	1	72	8	33	67	159
Kaelin	Clay	6	48	209	8	1	45	8	32	65	160
Isaiah	McKenzie	4	48	235	267	1	73	8	33	65	160
Braxton	Miller	5	44	215	259	1	58	7	31	60	160
Jacob	Hollister	3	46	200	100	1	54	8	31	64	160
Jakeem	Grant	3	46	220	250	1	61	8	32	64	160
Dontrelle	Inman	6	47	226	257	1	66	8	32	66	160
Bryce	Treggs	6	44	164	41	1	53	8	29	56	160
Cole	Hikutini	7	47	220	216	1	63	8	31	67	161
Griff	Whalen	8	45	213	245	1	64	8	33	64	161
Keith	Smith	3	47	225	250	1	67	8	32	68	161
Arrelious	Benn	3	48	223	109	1	61	8	32	68	161
Allen	Robinson	9	48	218	31	1	56	8	32	69	161
Clive	Walford	2	47	229	262	1	66	8	33	67	161
Matt	Hazel	8	48	234	266	1	72	8	33	69	161
Michael	Roberts	3	48	220	54	1	58	8	32	67	161
Kevin	White	9	47	229	262	1	67	8	33	66	161
Ryan	Hewitt	6	48	219	37	1	57	8	32	69	161
Brian	Quick	5	48	224	135	1	62	8	32	69	162
Jordan	Leslie	8	48	210	10	1	47	8	32	69	162
Phillip	Supernaw	3	46	216	235	1	62	7	32	66	162
Charone	Peake	7	48	232	262	1	70	8	32	69	162
Tanner	Gentry	6	46	202	118	1	58	8	31	64	162
Neal	Sterling	6	48	227	204	1	65	8	32	68	162
Patrick	Ricard	2	48	234	266	1	72	8	33	69	162
Luke	Stocker	3	48	230	250	1	68	8	33	69	162
Marcus	Johnson	3	47	214	135	1	57	8	31	66	162
Elijhaa	Penny	3	48	229	242	1	67	8	33	69	162
Cody	Core	4	49	235	267	1	73	8	33	66	163
Kendrick	Bourne	7	49	235	267	1	73	8	33	66	163
Damiere	Byrd	6	49	235	267	1	73	8	33	66	163
Zach	Line	7	49	235	267	1	73	8	33	68	163
Xavier	Grimble	3	48	223	109	1	61	8	33	69	163
Kevin	Zeitler	2	48	236	268	1	74	8	33	69	163
Marvin	Hall	8	48	197	5	1	33	7	32	68	163
C.J.	Spiller	9	49	235	267	1	73	8	33	68	163
Adam	Shaheen	2	48	233	265	1	71	7	32	68	163
Blake	Bell	2	48	223	109	1	61	8	32	68	163
Stacy	Coley	6	49	235	267	1	73	8	33	69	163
MarQueis	Gray	3	49	235	267	1	73	8	33	69	163
James	Conner	2	49	235	267	1	73	8	33	69	163
Breshad	Perriman	3	45	210	233	1	60	8	32	50	163
Cethan	Carter	3	49	235	267	1	73	8	33	69	163
Matt	LaCosse	8	49	235	267	1	73	8	33	69	163
Mike	Williams	7	47	214	135	1	58	8	31	65	163
Noah	Brown	5	48	222	86	1	60	8	32	69	163
Randall	Telfer	2	47	212	109	1	53	8	32	68	163
John	Ross	8	49	235	267	1	73	8	33	69	163
Zach	Zenner	6	49	235	267	1	73	8	33	69	163
Jalston	Fowler	3	49	235	267	1	73	8	33	69	163
Vince	Mayle	2	49	235	267	1	73	8	33	69	163
Hunter	Sharp	9	49	235	267	1	73	8	33	69	163
Ricky	Seals-Jones	7	49	235	267	1	73	8	33	69	163
Logan	Paulsen	3	49	235	267	1	73	8	33	69	163
Greg	Olsen	8	46	209	176	1	56	8	31	64	163
Dwayne	Allen	2	49	235	267	1	73	8	33	64	163
Dak	Prescott	3	49	235	267	1	70	8	33	70	163
Trevor	Davis	3	48	226	185	1	64	8	33	69	164
Corey	Coleman	8	43	177	154	1	50	7	28	57	164
Markus	Wheaton	7	48	226	185	1	64	8	33	61	165
